Date,Open,High,Low,Close,Adj Close,Volume
2022-03-07,7304.759766,7304.759766,7158.330078,7288.069824,7288.069824,158600
2022-03-08,7167.950195,7176.189941,6977.729980,6977.729980,6977.729980,231700
2022-03-09,6967.540039,7095.120117,6967.540039,6989.879883,6989.879883,156500
2022-03-10,7094.779785,7125.399902,7043.450195,7124.799805,7124.799805,129800
2022-03-11,7084.779785,7112.189941,7044.839844,7112.189941,7112.189941,118900
2022-03-14,7076.790039,7076.790039,6797.089844,6816.950195,6816.950195,171900
2022-03-15,6820.779785,7019.919922,6638.399902,7019.919922,7019.919922,172500
2022-03-16,7004.569824,7026.450195,6957.459961,7026.450195,7026.450195,143200
2022-03-17,7053.540039,7156.770020,7046.560059,7122.450195,7122.450195,157900
2022-03-18,7112.000000,7140.899902,7007.629883,7007.629883,7007.629883,367900
2022-03-21,7024.790039,7054.979980,6949.850098,6956.600098,6956.600098,127700
2022-03-22,6940.850098,7008.939941,6900.490234,7008.939941,7008.939941,118400
2022-03-23,6986.189941,7013.669922,6977.609863,7009.430176,7009.430176,94600
2022-03-24,7013.390137,7082.609863,6985.470215,7082.609863,7082.609863,125100
2022-03-25,7073.609863,7124.839844,7048.529785,7124.839844,7124.839844,102100
2022-03-28,7120.740234,7134.359863,7080.370117,7134.359863,7134.359863,87900
2022-03-29,7090.220215,7115.089844,7062.720215,7115.089844,7115.089844,115600
2022-03-30,7097.180176,7167.020020,7097.180176,7167.020020,7167.020020,164400
2022-03-31,7173.689941,7203.470215,7156.490234,7203.470215,7203.470215,172400
2022-04-01,7160.479980,7162.439941,7103.470215,7152.879883,7152.879883,102000
2022-04-04,7124.250000,7163.209961,7124.250000,7163.209961,7163.209961,78500
2022-04-05,7158.569824,7158.569824,7106.490234,7156.069824,7156.069824,70400
2022-04-06,7129.270020,7130.919922,7080.490234,7109.259766,7109.259766,82700
2022-04-07,7100.060059,7120.819824,6926.029785,6926.029785,6926.029785,149600
2022-04-08,6957.419922,7018.020020,6950.100098,7018.020020,7018.020020,87200
2022-04-11,7017.950195,7026.919922,6988.290039,6988.290039,6988.290039,57400
2022-04-12,6992.970215,6992.970215,6895.359863,6895.359863,6895.359863,105300
2022-04-13,6907.970215,6984.899902,6907.970215,6984.899902,6984.899902,76900
2022-04-14,null,null,null,null,null,null
2022-04-15,null,null,null,null,null,null
2022-04-18,7010.919922,7010.919922,6977.399902,6996.109863,6996.109863,52800
2022-04-19,7037.740234,7037.740234,7037.740234,7037.740234,7037.740234,0
